backend/cmd/server/main.go	c635b0bed607d01f400cc7463586f60f58c2c1ca565ba7fdde1d3b4191150f2e	reviewed	Read server wiring, startup gate, shutdown ownership, static frontend dispatch, private socket identity/lock lifecycle and regression tests.
backend/cmd/server/main_test.go	9237440f806578b26108965e09159434f068946301b7bfaf8268182e33c1f12c	reviewed	Read server wiring, startup gate, shutdown ownership, static frontend dispatch, private socket identity/lock lifecycle and regression tests.
backend/internal/adminclient/__tests__/decimal_validation_test.go	708fcc00662d6da009251c789ee55e3eaf76fa2b11aca680f43412dc3cb2c6f1	fixed	Probe errors redacted; external billing/probe/write decimals now use bounded decimalutil.Parse; invalid-notation regressions failed before and all adminclient race tests pass.
backend/internal/adminclient/__tests__/evidence_identity_test.go	2a00cc43a451a8ad43a3eea7b05bec02535bffb81d0ad1df3e5f0864a5895636	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/__tests__/probe_errors_test.go	1f8627e1ffc21d085af1f858f8171b47aedc59fa01798475fc5867e09ee4ed54	fixed	Multiplier-probe error branches now redact upstream credentials and bound diagnostic length; regression failed before fix and adminclient race tests passed.
backend/internal/adminclient/__tests__/response_benchmark_test.go	f476d27df3abca4975977cfd0148b18cb06c493d6ebf196ea8dc31b3183935c4	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/client.go	97b679e05019016c27fb66926f1c077d6f8982a45111fb1a8599b728d10f0989	fixed	Probe errors redacted; external billing/probe/write decimals now use bounded decimalutil.Parse; invalid-notation regressions failed before and all adminclient race tests pass.
backend/internal/adminclient/client_test.go	e57d16434296741ef198c5c8736062d7ef54f6244f57130ef248ca7ca68704cd	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/model_pricing.go	06a9bb2db2a345449a72d66d4e4abe2477f28173054241d7b50d8aa0624fe453	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/model_pricing_test.go	a23bc5778450ea29dbab1c9f381a453d08e0dfc18aea6ccac47f3942ff14c5a7	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/request_latency.go	29b442f9f38edb83c9a1599b2b994033c1b9eebe2b562fe10657eac4d5ac2272	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/adminclient/stable_identity_test.go	0915b98127f25a6d42c4233ed3f0d2a7cf2f4610d44c0aa94ccca5347fdc8cc4	reviewed	Full review: client paging and stable IDs, evidence enrichment, exact-price contracts, mutation retry semantics and create reconciliation; complete regression fixtures read.
backend/internal/api/__tests__/account_workbench_checkpoints_test.go	04ab51d3adde2d59c5c453c3394d5695c484ba64a47e985ef472682614e8a995	reviewed	逐行审查 API 路由鉴权、稳定 ID 与请求校验、私有数据返回、任务和 SSE 生命周期及对应测试；确认待修复的工作台会话与部分 JSON 解码入口问题
backend/internal/api/__tests__/account_workbench_cleanup_test.go	c67cfb67424fe4d8cdb9193856eb7306a3e4a1a2fd8eb6ee6ddbb1f98ab9e58f	reviewed	逐行审查 API 路由鉴权、稳定 ID 与请求校验、私有数据返回、任务和 SSE 生命周期及对应测试；确认待修复的工作台会话与部分 JSON 解码入口问题
